Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,251.000000,252.000000,245.500000,246.500000,220.522385,51535721
2019-08-06,240.000000,250.000000,240.000000,248.500000,222.311600,58625879
2019-08-07,250.000000,250.500000,246.500000,248.000000,221.864304,29435460
2019-08-08,248.000000,254.000000,248.000000,253.500000,226.784637,29725266
2019-08-12,254.500000,254.500000,251.000000,251.000000,224.548157,21794603
2019-08-13,249.000000,249.500000,246.500000,246.500000,220.522385,23121107
2019-08-14,252.500000,254.000000,249.500000,249.500000,223.206238,35216703
2019-08-15,247.000000,248.500000,246.000000,248.000000,221.864304,27624412
2019-08-16,249.500000,252.000000,248.000000,250.000000,223.653519,25370715
2019-08-19,251.500000,253.000000,250.500000,252.000000,225.442749,24060514
2019-08-20,254.000000,254.500000,252.500000,254.500000,227.679245,19960494
2019-08-21,254.500000,255.000000,253.000000,254.500000,227.679245,20269296
2019-08-22,257.000000,257.500000,254.000000,254.000000,227.231995,21900840
2019-08-23,253.500000,254.500000,253.000000,254.000000,227.231995,14166877
2019-08-26,249.000000,250.500000,248.500000,248.500000,222.311600,31678620
2019-08-27,250.500000,251.000000,248.500000,250.000000,223.653519,50234951
2019-08-28,250.500000,253.000000,250.500000,252.000000,225.442749,15132882
2019-08-29,253.000000,254.000000,251.000000,254.000000,227.231995,19587767
2019-08-30,256.500000,259.000000,256.000000,259.000000,231.705048,35184201
2019-09-02,258.000000,258.000000,256.000000,257.500000,230.363113,14614854
2019-09-03,256.500000,258.000000,253.000000,254.000000,227.231995,25762495
2019-09-04,254.000000,258.000000,254.000000,257.500000,230.363113,22540733
2019-09-05,263.000000,263.000000,260.500000,263.000000,235.283493,48791728
2019-09-06,265.000000,265.000000,263.000000,263.500000,235.730789,25408515
2019-09-10,263.500000,264.000000,260.500000,261.500000,233.941605,29308866
2019-09-11,264.000000,264.500000,260.500000,263.000000,235.283493,36196015
2019-09-12,265.000000,265.000000,261.500000,262.500000,234.836182,26017293
2019-09-16,262.000000,265.500000,261.500000,265.500000,237.519989,32573966
2019-09-17,266.500000,266.500000,264.500000,265.000000,237.072723,27600844
2019-09-18,267.000000,269.500000,266.500000,267.000000,238.861938,47684759
2019-09-19,268.000000,268.000000,264.000000,265.000000,238.861954,25233567
2019-09-20,266.000000,266.500000,264.000000,264.000000,237.960556,43868865
2019-09-23,264.000000,264.000000,263.000000,264.000000,237.960556,13093208
2019-09-24,263.500000,265.500000,262.000000,265.000000,238.861954,24244943
